date,revenue_this_year,revenue_last_year,revenue_variance,revenue_pct_difference,orders_this_year,orders_last_year,orders_variance,orders_pct_difference,stock_value_jhb_this_year,stock_value_dbn_this_year,stock_value_cpt_this_year,stock_value_total_this_year,stock_value_jhb_last_year,stock_value_dbn_last_year,stock_value_cpt_last_year,stock_value_total_last_year
2026-03-17,361661.19,426182.12,-64520.93,-15.14,460,531,-71,-13.37,6011654.629999999,1498527.3399999999,2245391.109999999,9755573.079999998,4899568.500000001,1416879.1300000001,2745072.1999999997,9061519.83
2026-03-18,291055.75,279693.17,11362.58,4.06,335,373,-38,-10.19,5965128.129999999,1478499.65,2252091.789999999,9695719.569999998,4879362.470000003,1396455.6899999995,2749966.5599999996,9025784.720000003
2026-03-19,188525.99,160907.26,27618.73,17.16,236,222,14,6.31,5959889.28,1656771.3299999998,2256085.26,9872745.870000001,4932940.980000002,1394580.8599999999,2866406.2100000004,9193928.050000003
2026-03-20,160257.46,174251.74,-13994.28,-8.03,191,216,-25,-11.57,6320361.31,1642090.8499999994,2233894.13,10196346.29,5405469.420000002,1410525.5,2863137.45,9679132.370000001
2026-03-21,96435.45,100526.21,-4090.76,-4.07,119,131,-12,-9.16,6273214.67,1631791.2499999998,2223239.4099999997,10128245.33,5353107.050000001,1406904.9399999997,2848881.3599999994,9608893.35
2026-03-22,126268.84,98895.33,27373.51,27.68,153,129,24,18.6,6218711.299999998,1614681.92,2207970.75,10041363.969999999,5304073.630000001,1398693.3800000001,2834215.0299999993,9536982.04
2026-03-23,263659.98,107652.30,156007.68,144.92,294,133,161,121.05,6107015.999999999,1595521.61,2207036.65,9909574.26,5256812.100000002,1387733.7300000002,2812315.579999999,9456861.410000002
2026-03-24,237775.42,210199.97,27575.45,13.12,311,246,65,26.42,6225792.079999998,1635385.1,2199561.9899999998,10060739.169999998,5177844.44,1379641.9200000002,2809685.6400000006,9367172.0
2026-03-25,427331.63,530100.14,-102768.51,-19.39,532,679,-147,-21.65,6282948.489999998,1622402.8799999997,2365184.92,10270536.29,4980899.610000002,1370062.49,2730618.94,9081581.040000003
2026-03-26,377924.81,441515.46,-63590.65,-14.4,497,574,-77,-13.41,6144765.329999997,1626366.4699999997,2453810.07,10224941.869999997,4781981.520000001,1370996.1600000001,2650912.51,8803890.190000001
2026-03-27,257854.48,301369.13,-43514.65,-14.44,350,374,-24,-6.42,6042129.67,1615276.47,2415044.9399999995,10072451.079999998,4658280.090000002,1348920.64,2591122.1600000006,8598322.890000002
2026-03-28,145239.45,194101.89,-48862.44,-25.17,187,301,-114,-37.87,5971243.219999999,1603829.69,2411354.51,9986427.419999998,4685428.840000001,1418427.6899999997,2579181.51,8683038.04
2026-03-29,162527.48,111533.92,50993.56,45.72,225,161,64,39.75,5902488.699999999,1581210.6100000003,2389926.2299999995,9873625.54,4633695.3100000005,1411645.25,2560909.98,8606250.540000001
2026-03-30,386722.44,149765.51,236956.93,158.22,505,205,300,146.34,5748688.26,1561179.8900000001,2399756.36,9709624.51,4559983.09,1395809.43,2543344.6300000004,8499137.15
